Id,PC1,PC2,PC3,label
GLY50_M53_O1_1010,-19.60677935,23.99292542,-7.218276882,GLY50
GLY50_M96_O1_1013,-30.82466256,27.37552992,-2.930694494,GLY50
GLY80_M84_O1_1025,88.48775582,12.61447235,3.490582526,GLY80
AGUA_M9_O1_0928,-51.10395925,-36.63358006,11.85152816,WATER
GLY50_M71_O1_1013,-25.85285846,29.39820903,-3.005969487,GLY50
AIRE_M21_O1_1003,172.8101155,-34.46527158,-5.189722354,AIR
GLY50_M34_O1_1010,-12.07877593,22.29469448,-11.01136127,GLY50
GLY60_M90_O1_1014,-4.362942404,33.75648004,-0.2384143,GLY60
GLY50_M40_O1_1010,-22.84539879,24.53353176,-5.137353417,GLY50
GLY40_M26_O1_1006,-41.23448961,6.980464087,-7.556150432,GLY40
GLY20_M52_O1_1003,-36.0409869,-16.25588394,-6.404379857,GLY20
GLY70_M24_O1_1017,46.02336834,25.76889886,-0.66942492,GLY70
GLY70_M92_O1_1018,38.91611341,30.9504106,5.636926206,GLY70
GLY60_M74_O1_1014,-10.61965339,33.51165631,-0.039131361,GLY60
GLY50_M49_O1_1010,-31.22943724,23.49894808,-2.341529935,GLY50
GLY10_M61_O1_0930,-50.24064066,-32.36664272,6.807511399,GLY10
GLY70_M12_O1_1017,39.73093527,30.53362089,4.680395344,GLY70
GLY80_M72_O1_1025,77.34877054,17.51676961,2.491746966,GLY80
GLY60_M68_O1_1014,1.158850595,34.14031212,-0.499323049,GLY60
GLY30_M96_O1_1005,-39.36192282,-4.932888777,-8.265948881,GLY30
GLY50_M64_O1_1010,-21.95586816,25.96890874,-5.098748798,GLY50
GLY70_M21_O1_1017,46.22111661,25.1170923,-0.577638315,GLY70
GLY60_M9_O1_1013,-0.718297805,33.72098051,-2.376185458,GLY60
GLY60_M26_O1_1014,2.826497723,33.90841973,-1.816235123,GLY60
GLY80_M34_O1_1021,81.81802131,14.39462458,1.097237817,GLY80
GLY10_M52_O1_0930,-41.01559641,-29.17956141,-0.404217148,GLY10
GLY10_M77_O1_1003,-32.9438544,-29.38865041,-5.823305295,GLY10
GLY40_M41_O1_1007,-34.35420041,10.40068795,-10.39643186,GLY40
GLY50_M62_O1_1010,-14.13379941,24.92043509,-8.260068841,GLY50
GLY20_M68_O1_1004,-39.68044191,-19.69206642,-4.399128155,GLY20
GLY60_M53_O1_1014,2.49073216,34.64050614,-0.14804237,GLY60
GLY30_M76_O1_1005,-38.91767293,-5.084962981,-8.442265277,GLY30
GLY10_M99_O1_1003,-39.58980453,-29.00786685,-0.584764141,GLY10
AIRE_M15_O1_0930,169.8805607,-32.20072826,-2.426603623,AIR
GLY10_M48_O1_0930,-42.44131519,-29.81630704,-0.08802757,GLY10
GLY40_M96_O1_1007,-28.1426582,11.37509792,-13.44845148,GLY40
GLY80_M61_O1_1025,80.77622089,16.08415829,2.866244827,GLY80
GLY10_M50_O1_0930,-42.11604496,-29.99494912,0.452376824,GLY10
AGUA_M18_O1_0928,-46.09974727,-34.47965544,8.278573622,WATER
GLY50_M67_O1_1010,-20.69853643,25.63328427,-5.923853596,GLY50
GLY10_M10_O1_0930,-46.06681038,-33.76989459,2.940805254,GLY10
AIRE_M47_O1_1005,173.9750128,-38.45337229,-3.204879056,AIR
GLY40_M44_O1_1007,-42.79322996,7.817922599,-5.683759636,GLY40
GLY10_M42_O1_0930,-48.98711874,-30.73716153,4.624208289,GLY10
