,PC1,PC2,PC3,PC4,PC5,PC6,PC7,Label,Set
AIR_M17R2_O1_1312,2.106406627914066,15.888768287199843,-1.8822797948335106,-5.124563341245719,6.898596732635848,-0.9477399253070684,7.117406695603751,AIR,TRAIN
AIR_M17R3_O1_1312,-14.222050308287708,-6.835615825858364,-6.536405638247515,3.325440601101831,0.8132972690734593,4.793879144599732,7.935642624148201,AIR,TRAIN
AIR_M17R4_O1_1312,-5.776260978964435,-14.258705133298418,2.1668635560774976,-2.8820497719680542,8.697843758615031,2.4184938008220507,7.732487169172778,AIR,TRAIN
AIR_M17R5_O1_1312,4.789458537403095,-14.308411260184007,4.077179778796188,-4.634932836198298,2.417480586410328,-6.413407070966707,7.927028136581367,AIR,TRAIN
AIR_M18R0_O1_1312,-8.320428136343578,14.186565830517111,5.496170644367332,-6.091444122477979,-1.0013471492956731,-2.052868045729934,7.24797925173913,AIR,TRAIN
AIR_M18R1_O1_1312,15.108228580264422,5.563149524700709,-1.2194173081254618,6.031346028238997,-0.05442989802489664,5.010292566389408,8.139234785526229,AIR,TRAIN
AIR_M18R2_O1_1312,-0.9903283236252007,16.081303816567715,-0.022224797287618142,-6.878043885328663,5.2513398914574205,-1.2647012797913013,7.135499007522284,AIR,TRAIN
AIR_M18R3_O1_1312,-12.450310270656438,10.49298348367764,6.137736546686956,-0.8787019092925521,-4.779687767427571,-2.889737645851932,7.481826027311809,AIR,TRAIN
AIR_M18R4_O1_1312,-1.2742779588367816,-15.066571206966278,4.304936210131731,-3.9126849961706975,7.372259152136455,-1.9797892138657982,7.8367449690231386,AIR,TRAIN
AIR_M18R5_O1_1312,15.614924717953832,4.063036812244473,-0.8007825782138341,5.530010464058348,-1.7024910599652956,5.069422037735396,8.143719494911704,AIR,TRAIN
AIR_M19R0_O1_1312,6.226601130735251,14.569376447641988,-3.267978849520399,-1.2470567186436112,7.738460198757324,0.035620568381312376,7.209969703975259,AIR,TRAIN
AIR_M19R1_O1_1312,-10.55441679860928,12.558228248006019,6.392775855508595,-3.6811967778373424,-3.1127789615806747,-2.37845642182111,7.300560322163057,AIR,TRAIN
AIR_M19R2_O1_1312,14.749740423439562,6.482317805962432,-1.5118627773145559,6.184419131611242,0.922031467131321,4.6168368017064605,8.016788262003244,AIR,TRAIN
AIR_M19R3_O1_1312,-2.213657527227815,15.976428564331991,0.934941400421772,-7.326508312606642,4.490795777546652,-1.5460409567325937,7.188764601282622,AIR,TRAIN
AIR_M19R4_O1_1312,8.65965883813626,-12.476350693203013,2.6815579457835357,-4.636424799008043,-2.1061452095898026,-6.618050747619104,8.125499925311523,AIR,TRAIN
AIR_M19R5_O1_1312,-15.540886390620745,2.793554539755819,-0.7043503873045339,5.810247579450693,-5.798681928078654,-1.7538976466653193,7.894122437636909,AIR,TRAIN
AIR_M1R0_O1_2911,-0.20331532497633295,16.29611050885493,-0.5309898611051681,-6.694149176517694,5.664616023628065,-1.1730530470032277,7.04404915652266,AIR,TRAIN
AIR_M1R1_O1_2911,-6.637701057461829,15.176873587142367,4.353420978714641,-7.206724314252345,0.6635599405252501,-1.8575899659009834,7.1429981420407165,AIR,TRAIN
AIR_M1R2_O1_2911,3.3569236257421213,-14.775434353959435,4.523818055549207,-4.522864777890092,3.8818686292216187,-5.674372248876796,7.95262315885929,AIR,TRAIN
AIR_M1R3_O1_2911,10.9923187148459,-11.081104756622072,1.663679677957487,-4.090703617926514,-4.627476319337904,-5.711486875291735,8.14945721312288,AIR,TRAIN
AIR_M1R4_O1_2911,7.583225014513412,-13.313383892847508,3.178261559090743,-4.5846820570848825,-0.6189415493699509,-6.964448496889767,8.096659088865012,AIR,TRAIN
AIR_M20R0_O1_1312,-7.331990210058256,-13.772900852646092,0.9624039427531811,-2.422496778136301,8.404674392802963,3.988036043979295,7.626568478219228,AIR,TRAIN
AIR_M20R1_O1_1312,-15.278274246401706,3.937173641537512,0.5044952618820211,5.4033748546368825,-6.2476511106728125,-2.2120403912862017,7.872215508308909,AIR,TRAIN
AIR_M20R2_O1_1312,-14.391463057565208,6.889166403010879,3.6312646590446236,3.1825957876852224,-6.338500358778194,-2.944443333461003,7.72729689794523,AIR,TRAIN
AIR_M20R3_O1_1312,-15.665810024096432,2.5711289503379824,-1.0345084102862894,6.009639041993377,-5.788697941810494,-1.8531505963248083,7.796132354671682,AIR,TRAIN
AIR_M20R4_O1_1312,13.246138992181697,-8.391535170372334,0.6354393666262027,-2.978314055227855,-7.193627668009434,-2.937562884065373,8.246643840101118,AIR,TRAIN
AIR_M20R5_O1_1312,-6.599798555410234,15.075462500664493,4.389312605336549,-7.304083302483284,0.690700957832105,-1.8790506602639185,7.133483711867436,AIR,TRAIN
AIR_M21R1_O1_1612,-2.799676503949329,16.138862321685558,1.3943563104857517,-7.800380719595345,4.198007711704597,-1.5250375870422452,7.4557970046753645,AIR,TRAIN
AIR_M21R3_O1_1612,-9.117001245818306,13.848492773323107,5.990374738474227,-5.742510103431681,-1.5865106450181392,-2.2539117912339304,7.623258707840054,AIR,TRAIN
AIR_M21R5_O1_1612,15.629533709767736,-3.6810027168212995,0.01130713143705403,0.4947400584909314,-7.894002417184972,1.9086244022862224,8.783935983748774,AIR,TRAIN
AIR_M22R0_O1_1612,-15.532536656988379,2.905396693630155,-0.5180350561945509,5.765776581325629,-5.820759741627099,-1.7805104055033165,8.003462249197934,AIR,TRAIN
AIR_M22R1_O1_1612,12.963213214464778,-8.46437559349213,0.8382852567221581,-2.8526816120127516,-7.063755984645681,-3.1805776551842135,8.636237569413892,AIR,TRAIN
AIR_M22R2_O1_1612,4.122273856198204,15.285119300015978,-2.5722443185274106,-3.3356437498671347,7.802257476143462,-0.4134326871899344,7.463998143763137,AIR,TRAIN
AIR_M22R3_O1_1612,-15.464659891665617,3.2459291692766516,-0.1340912564113372,5.492254213771621,-6.004679637490016,-2.002426373850578,8.048316479214598,AIR,TRAIN
AIR_M22R5_O1_1612,14.20919113461722,-6.667601282356105,0.27505448728705645,-1.7542736945731061,-7.846703053326017,-1.1836435750900682,8.623505158246434,AIR,TRAIN
AIR_M23R0_O1_1912,10.958746039890947,-11.0217107338613,1.7190751893126284,-4.070988783314413,-4.610632899474891,-5.571179629374378,8.230999860864813,AIR,TRAIN
AIR_M23R1_O1_1912,6.117768362871341,-13.95532068653364,3.6488277372670987,-4.679460877590369,0.959668451062393,-6.803677428846827,8.06787030362175,AIR,TRAIN
AIR_M23R2_O1_1912,14.646067250083222,6.983219631472607,-1.6278305250169016,6.066749400712696,1.5355354231165104,4.606959846808439,8.02781544019375,AIR,TRAIN
AIR_M23R3_O1_1912,5.536454722346809,14.917366019127932,-3.0996751066437107,-1.999763588339522,7.844974402190505,-0.09981387929532681,7.353613845590865,AIR,TRAIN
AIR_M23R5_O1_1912,-15.026601531567868,5.7976044855723305,2.5112771249643786,4.330972409432168,-6.191496793308278,-2.7041595737964554,7.7336221125118545,AIR,TRAIN
AIR_M24R0_O1_1912,-15.22000433298553,-3.4063310377741844,-5.86598659494076,5.2924691320188755,-2.4007591045449157,2.341569587930389,8.037499341109326,AIR,TRAIN
AIR_M24R1_O1_1912,13.052244454987193,-8.372267263897513,0.7177302876146711,-2.8304673091328727,-7.083422221149516,-3.094917287204367,8.349345920310817,AIR,TRAIN
AIR_M24R2_O1_1912,-15.656846641971873,0.9503841764991782,-2.574806074191643,6.1987337315932525,-5.07796992189044,-0.7951180114207073,7.936657830020708,AIR,TRAIN
AIR_M24R3_O1_1912,11.68968447793022,10.706978427687003,-3.1040327116872426,4.371302916233732,5.567759038377119,2.7776214258421863,7.6114778185941505,AIR,TRAIN
AIR_M24R4_O1_1912,6.50547752579033,14.337242138826008,-3.3006532999587765,-1.019050965968652,7.894884490057461,0.19995093550215992,7.231283001893208,AIR,TRAIN
AIR_M25R0_O1_1912,-5.776911875215721,15.135550371968574,3.7899384909185647,-7.491316204785024,1.4875065307127002,-1.7859211682290188,7.14807977076709,AIR,TRAIN
